Alvar;M;s/o;s/s
Alvaro;M;Germanico;s/s
Alvesio;M;s/o;s/s
Alvia;F;s/o;s/s
Alvin;M;s/o;s/s
Alvis;M;s/o;s/s
Alvita;F;s/o;s/s
Alys;F;s/o;s/s
Alysa;F;s/o;s/s
Alyson;F;s/o;s/s
Alyssa;F;s/o;s/s
Alzena;F;s/o;s/s
Amabel;F;s/o;s/s
Amabelio;M;s/o;s/s
Amable;F;s/o;s/s
Amada;F;s/o;s/s
Amadeo;M;Latino;"Bajo Latin ""amadeus""el Que Ama A Dios, Nombre Del Rey De España, Amadeo De Saboya (1870)."
Amadeus;M;s/o;s/s
Amadis;M;Latino;El Gran Amor, Antigua Forma Francesa Deamadeo
Amado;M;Latino;"El Que Es Amado, Del Latin ""amatus"", Parti-cipio Pasado De ""amo"", Corresponde Semanticamente Al Hebreo David, Sanamado, Abad De Un Monasterio Frances En El Siglo Vii"
Amador;M;Latino;s/s
Amaia;F;s/o;s/s
Amaicha;F;s/o;s/s
Amaike;A;s/o;s/s
Amal;F;s/o;s/s
Amali;F;s/o;s/s
Amalia;F;Teuton;"La Mujer Despreocupada, Variante De Ameliahipocoristico De ""amelberga"""
Amalio;M;Teuton;s/s
Amaltea;F;s/o;s/s
Amambay;F;s/o;s/s
Aman;M;s/o;s/s
Amana;F;s/o;s/s
Amancai;F;s/o;s/s
Amancay;F;s/o;s/s
Amancio;M;Latino;"Del Latin ""amantius"" El Que Ama A Dios, En-tre Los Santos, Un Obispo De Comos En El Siglo V."
Amanda;F;Latino;"Del Latin ""amanda"" Que Debe Ser Amada.Generofemenino"
Amandine;F;s/o;s/s
Amandio;M;s/o;s/s
Amando;M;s/o;s/s
Amani;A;s/o;s/s
Amankaya;A;s/o;s/s
Amantze;F;s/o;s/s
Amapola;F;s/o;s/s
Amara;F;s/o;s/s
Amarande;F;s/o;s/s
Amaranta;F;s/o;s/s
Amarante;F;s/o;s/s
Amaranto;M;s/o;s/s
Amarilis;F;Latino;"Del Latin ""amaryllis"", Nombre De La Pastora En Los Idilios De Teocrito Y Eglogas De Virgilio"
Amarino;M;s/o;s/s
Amarire;F;s/o;s/s
Amaris;F;s/o;s/s
Amaro;M;Latino;Variante Portuguesa De Mauro
Amaru;A;s/o;s/s
Amaryllis;F;s/o;s/s
Amata;F;s/o;s/s
Amatista;F;Latino;s/s
Amauri;M;s/o;s/s
Amaury;F;s/o;s/s
Amauta;F;s/o;s/s
Amaya;F;s/o;s/s
Ambar;F;s/o;s/s
Ambay;A;s/o;s/s
Amber;F;s/o;s/s
Ambico;M;s/o;s/s
Ambika;F;s/o;s/s
Ambrosia;F;s/o;s/s
Ambrosio;M;Griego;El Inmortal, Nombre Del Santo Patrono Yobispo De Milan, Uno De Los Mas Famosos Padres De La Iglesia
Amedeo;M;s/o;s/s
Ameerah;F;s/o;s/s
Ameghino;M;s/o;s/s
Amel;M;s/o;s/s
Amelberga;F;s/o;s/s
Ameli;F;s/o;s/s
Amelia;F;Griego;Despreocupada, Trabajadora, Energica, Activavariacion De Amalia.
Amelida;F;s/o;s/s
Amelie;F;s/o;s/s
Amelin;F;s/o;s/s
Amelina;F;s/o;s/s
Amelio;M;s/o;s/s
Amena;F;s/o;s/s
America;F;Teuton;Principe De Accion, Activo, Hacendoso
Americo;M;s/o;s/s
Amethyst;F;s/o;s/s
Ami;A;s/o;s/s
Amideo;M;s/o;s/s
Amiel;M;Hebreo;Dios Es Mi Pueblo.
Amijay;F;s/o;s/s
Amilcar;M;Fenicio;s/s
Amin;M;s/o;s/s
Amina;F;Arabe;Fiel-amina Se Llamo La Madre De Mahoma.Generofemenino
Aminda;F;s/o;s/s
Amine;F;s/o;s/s
Aminta;F;Griego;s/s
Amir;M;s/o;s/s
Amira;F;Arabe;"De ""amir"", Princesa"
Amiri;M;s/o;s/s
Amissa;F;s/o;s/s
Amit;M;s/o;s/s
Amitai;F;s/o;s/s
Amittai;M;s/o;s/s
Amity;F;s/o;s/s
Ammi;F;s/o;s/s
Ammia;F;s/o;s/s
Ammiano;M;s/o;s/s
Ammiel;M;s/o;s/s
Ammon;M;Egipcio;Dios Egipcio, Que Bajo La Forma De Carnerose Puso A Escabar Bajo La Arena Del Desierto Hasta Que Broto Agua Quemitigo La Sed De Hercules.
Ammonaria;F;s/o;s/s
Ammonio;M;s/o;s/s
Amnedis;F;s/o;s/s
Amneris;F;s/o;"Nombre Forjado Por El Libretista Piave Para La Opera ""ai-da"" De Verdi"
Amon;M;Hebreo;El Que Hace Casas, El Escondido, Nombre Deun Dios Egipcio
Amor;A;s/o;s/s
Amorina;F;s/o;s/s
Amorino;M;s/o;s/s
Amory;F;s/o;s/s
